IBIS codes,Destinations,TDE,Calendar,Country Code,Area Code,Price/min,Price Status,Comment,Cli,Start Date,End Date
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,407,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,408,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,409,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,417,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,418,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,419,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,427,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,428,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,429,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,436,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,437,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,438,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,439,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,4444,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,4445,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,447,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,448,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,455,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,456,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,457,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,458,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,459,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,4600,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,4601,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,4602,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,4603,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,4604,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,467,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,472,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,473,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,474,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,475,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,476,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,477,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,4801,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,4802,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,484,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,487,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,4880,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,4881,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,4882,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,4883,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,4884,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,4885,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,4886,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,4887,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,4889,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,4899,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,490,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,4910,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,4911,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,4912,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,4913,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,4914,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,4916,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,4917,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,497,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,498,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR,Australia Mobile Telstra,STD,SINT,61,499,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR Australia Via Lycatel,Australia Mobile Telstra Australia Via Lycatel,STD,SINT,61,469,0.04050,,,YES,1-Apr-17,
AUS Mobile TELSTR Australia Via Lycatel,Australia Mobile Telstra Australia Via Lycatel,STD,SINT,61,470,0.04050,,,YES,1-Apr-17,
AUS Mobile VODAFO,Australia Mobile Vodafone Hutchison,STD,SINT,61,404,0.04050,,,YES,1-Apr-17,
AUS Mobile VODAFO,Australia Mobile Vodafone Hutchison,STD,SINT,61,405,0.04050,,,YES,1-Apr-17,
AUS Mobile VODAFO,Australia Mobile Vodafone Hutchison,STD,SINT,61,406,0.04050,,,YES,1-Apr-17,
AUS Mobile VODAFO,Australia Mobile Vodafone Hutchison,STD,SINT,61,410,0.04050,,,YES,1-Apr-17,
AUS Mobile VODAFO,Australia Mobile Vodafone Hutchison,STD,SINT,61,414,0.04050,,,YES,1-Apr-17,
AUS Mobile VODAFO,Australia Mobile Vodafone Hutchison,STD,SINT,61,415,0.04050,,,YES,1-Apr-17,
AUS Mobile VODAFO,Australia Mobile Vodafone Hutchison,STD,SINT,61,416,0.04050,,,YES,1-Apr-17,
AUS Mobile VODAFO,Australia Mobile Vodafone Hutchison,STD,SINT,61,4202,0.04050,,,YES,1-Apr-17,
AUS Mobile VODAFO,Australia Mobile Vodafone Hutchison,STD,SINT,61,4203,0.04050,,,YES,1-Apr-17,
AUS Mobile VODAFO,Australia Mobile Vodafone Hutchison,STD,SINT,61,4204,0.04050,,,YES,1-Apr-17,
AUS Mobile VODAFO,Australia Mobile Vodafone Hutchison,STD,SINT,61,4205,0.04050,,,YES,1-Apr-17,
AUS Mobile VODAFO,Australia Mobile Vodafone Hutchison,STD,SINT,61,4206,0.04050,,,YES,1-Apr-17,
AUS Mobile VODAFO,Australia Mobile Vodafone Hutchison,STD,SINT,61,4207,0.04050,,,YES,1-Apr-17,
AUS Mobile VODAFO,Australia Mobile Vodafone Hutchison,STD,SINT,61,4208,0.04050,,,YES,1-Apr-17,
AUS Mobile VODAFO,Australia Mobile Vodafone Hutchison,STD,SINT,61,4209,0.04050,,,YES,1-Apr-17,
AUS Mobile VODAFO,Australia Mobile Vodafone Hutchison,STD,SINT,61,424,0.04050,,,YES,1-Apr-17,
AUS Mobile VODAFO,Australia Mobile Vodafone Hutchison,STD,SINT,61,425,0.04050,,,YES,1-Apr-17,
AUS Mobile VODAFO,Australia Mobile Vodafone Hutchison,STD,SINT,61,426,0.04050,,,YES,1-Apr-17,
AUS Mobile VODAFO,Australia Mobile Vodafone Hutchison,STD,SINT,61,430,0.04050,,,YES,1-Apr-17,
AUS Mobile VODAFO,Australia Mobile Vodafone Hutchison,STD,SINT,61,433,0.04050,,,YES,1-Apr-17,
AUS Mobile VODAFO,Australia Mobile Vodafone Hutchison,STD,SINT,61,449,0.04050,,,YES,1-Apr-17,
AUS Mobile VODAFO,Australia Mobile Vodafone Hutchison,STD,SINT,61,450,0.04050,,,YES,1-Apr-17,
AUS Mobile VODAFO,Australia Mobile Vodafone Hutchison,STD,SINT,61,451,0.04050,,,YES,1-Apr-17,
AUS Mobile VODAFO,Australia Mobile Vodafone Hutchison,STD,SINT,61,452,0.04050,,,YES,1-Apr-17,
AUS Moser,Australia Mobility Services,STD,SINT,61,1451430,3.75000,,,NO,1-Jan-18,
AUS Moser,Australia Mobility Services,STD,SINT,61,1451431,3.75000,,,NO,1-Jan-18,
AUS Moser,Australia Mobility Services,STD,SINT,61,1451432,3.75000,,,NO,1-Jan-18,
AUS Moser,Australia Mobility Services,STD,SINT,61,1451433,3.75000,,,NO,1-Jan-18,
AUS Moser,Australia Mobility Services,STD,SINT,61,1451434,3.75000,,,NO,1-Jan-18,
AUS Moser,Australia Mobility Services,STD,SINT,61,145143500,3.75000,,,NO,1-Jan-18,
AUS Satellite Fixed TELSTR,Australia Satellite Fixed Telstra,STD,SINT,61,14711,3.00000,,,NO,1-Jan-18,
AUS Satellite Fixed TELSTR,Australia Satellite Fixed Telstra,STD,SINT,61,14712,3.00000,,,NO,1-Jan-18,
AUS Satellite Fixed TELSTR,Australia Satellite Fixed Telstra,STD,SINT,61,14713,3.00000,,,NO,1-Jan-18,
AUS Satellite Fixed TELSTR,Australia Satellite Fixed Telstra,STD,SINT,61,14717,3.00000,,,NO,1-Jan-18,
AUS Satellite Fixed TELSTR,Australia Satellite Fixed Telstra,STD,SINT,61,14718,3.00000,,,NO,1-Jan-18,
AUS Satellite Fixed TELSTR,Australia Satellite Fixed Telstra,STD,SINT,61,14719,3.00000,,,NO,1-Jan-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,14510,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,14511,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,14512,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,14513,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,145140,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,145141,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,145142,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,145143501,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,145143502,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,145143503,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,145143504,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,145143505,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,145143506,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,145143507,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,145143508,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,145143509,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,14514351,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,14514352,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,14514353,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,14514354,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,14514355,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,14514356,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,14514357,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,14514358,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,14514359,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,1451436,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,1451437,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,1451438,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,1451439,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,145144,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,145145,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,145146,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,145147,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,145148,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,145149,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,14515,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,14516,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,14517,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,14518,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,14519,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,1452,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile OPTUSM,Australia Satellite Mobile Optus Mobile,STD,SINT,61,1453,3.15000,,,YES,1-Jul-18,
AUS Satellite Mobile TELSTR,Australia Satellite Mobile Telstra,STD,SINT,61,14714,3.00000,,,YES,1-Jan-18,
AUS Satellite Mobile TELSTR,Australia Satellite Mobile Telstra,STD,SINT,61,14715,3.00000,,,YES,1-Jan-18,
AUS Satellite Mobile TELSTR,Australia Satellite Mobile Telstra,STD,SINT,61,14716,3.00000,,,YES,1-Jan-18,
AUS Speser,Australia Special Services,STD,SINT,61,13,0.05400,,,NO,1-Jan-18,
BIH,Bosnia And Herzegovina,STD,SINT,387,,0.20690,,,YES,1-May-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3020,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3025,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3026,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3027,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3028,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3029,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3050,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3051,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3052,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3053,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3054,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3056,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3059,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3083,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,31511,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3220,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3222,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3224,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3240,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3242,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3243,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3244,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3245,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3246,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3255,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3259,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3260,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3261,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3265,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3266,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3267,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3268,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3269,0.19946,,,YES,1-Jan-18,
BIH PTTBIH,Bosnia And Herzegovina BH Telecom,STD,SINT,387,3272,0.19946,,,YES,1-Jan-18,
